Geographic Area Name,Geography,Total!!Estimate!!Population 16 years and over,In labor force!!Estimate!!Population 16 years and over,Employed!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 16 years and over,Total!!Estimate!!AGE!!16 to 19 years,In labor force!!Estimate!!AGE!!16 to 19 years,Employed!!Estimate!!AGE!!16 to 19 years,Unemployment rate!!Estimate!!AGE!!16 to 19 years,Total!!Estimate!!AGE!!20 to 24 years,In labor force!!Estimate!!AGE!!20 to 24 years,Employed!!Estimate!!AGE!!20 to 24 years,Unemployment rate!!Estimate!!AGE!!20 to 24 years,Total!!Estimate!!AGE!!25 to 44 years,In labor force!!Estimate!!AGE!!25 to 44 years,Employed!!Estimate!!AGE!!25 to 44 years,Unemployment rate!!Estimate!!AGE!!25 to 44 years,Total!!Estimate!!AGE!!45 to 54 years,In labor force!!Estimate!!AGE!!45 to 54 years,Employed!!Estimate!!AGE!!45 to 54 years,Unemployment rate!!Estimate!!AGE!!45 to 54 years,Total!!Estimate!!AGE!!55 to 64 years,In labor force!!Estimate!!AGE!!55 to 64 years,Employed!!Estimate!!AGE!!55 to 64 years,Unemployment rate!!Estimate!!AGE!!55 to 64 years,Total!!Estimate!!AGE!!65 to 74 years,In labor force!!Estimate!!AGE!!65 to 74 years,Employed!!Estimate!!AGE!!65 to 74 years,Unemployment rate!!Estimate!!AGE!!65 to 74 years,Total!!Estimate!!AGE!!75 years and over,In labor force!!Estimate!!AGE!!75 years and over,Employed!!Estimate!!AGE!!75 years and over,Unemployment rate!!Estimate!!AGE!!75 years and over,Total!!Estimate!!Population 20 to 64 years,In labor force!!Estimate!!Population 20 to 64 years,Employed!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 20 to 64 years,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,In labor force!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Employed!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Unemployment rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level
"Manhattan, KS",310M200US31740,78516,68.2,56.8,5.0,8722,43.8,34.3,5.1,19373,70.4,53.3,6.8,25497,83.1,66.4,5.5,8610,82.8,79.4,2.9,7893,73.1,70.8,3.2,4392,37.1,35.9,3.2,4029,8.8,8.8,0.0,61373,77.8,64.6,5.1,12653,53.7,46.7,11.7
"Mankato-North Mankato, MN",310M200US31860,79687,72.1,68.3,5.1,7413,55.4,47.0,15.2,13274,77.6,72.5,6.5,24287,90.6,86.8,4.2,11502,89.7,86.9,3.2,11014,79.6,76.6,3.7,6265,25.7,24.9,3.0,5932,5.1,4.4,12.3,60077,85.6,81.8,4.3,10435,65.9,57.3,13.0
"Mansfield, OH",310M200US31900,98693,56.4,50.8,9.8,5894,46.0,36.6,20.4,7440,67.3,57.7,14.3,29841,73.6,65.8,10.3,17517,75.2,69.8,7.2,16844,59.8,55.3,7.5,11256,21.6,19.7,9.0,9901,3.3,3.3,2.4,71642,70.1,63.5,9.3,10332,51.5,35.2,31.7
"Mayagüez, PR",310M200US32420,85069,39.5,31.1,21.2,6949,15.6,4.3,72.4,10764,41.1,25.7,37.5,22688,67.8,54.3,19.9,11781,61.6,52.4,15.1,12631,34.9,30.9,11.4,11114,7.5,7.3,3.2,9142,1.8,1.8,0.0,57864,54.4,43.5,20.1,26469,40.3,22.7,43.6
"McAllen-Edinburg-Mission, TX",310M200US32580,560891,58.1,52.0,10.4,55909,26.4,18.2,30.8,61945,64.2,53.2,17.0,214927,75.8,69.1,8.8,84426,74.6,69.0,7.5,64296,58.1,53.3,8.2,44127,16.3,15.6,4.4,35261,2.8,2.6,7.9,425594,71.2,64.4,9.6,118892,57.1,46.7,18.2
"Medford, OR",310M200US32780,167760,58.7,51.4,12.4,10210,44.7,31.7,29.2,12318,76.4,64.8,15.1,47700,81.1,70.4,13.1,27423,78.5,69.7,11.1,31176,60.0,55.0,8.4,21395,22.3,20.5,7.8,17538,4.5,4.4,1.8,118617,74.5,65.6,11.9,21695,54.8,37.9,30.8
"Memphis, TN-MS-AR",310M200US32820,1029962,65.2,58.0,11.0,77299,35.2,22.7,35.3,94996,73.6,57.8,21.3,360291,82.4,73.8,10.0,185731,78.9,72.9,7.6,160670,63.7,59.6,6.3,88137,27.5,25.8,6.3,62838,7.8,7.4,5.1,801688,76.8,68.8,10.1,130520,54.4,35.0,35.6
"Merced, CA",310M200US32900,190771,60.4,49.8,17.5,18990,29.9,14.9,50.1,21489,72.3,50.8,29.7,68750,77.1,65.1,15.4,31238,75.2,66.2,11.9,24189,56.6,50.8,10.3,14680,22.0,19.6,10.7,11435,5.9,5.7,4.6,145666,72.6,60.8,16.1,30949,54.0,32.4,40.0
"Miami-Fort Lauderdale-West Palm Beach, FL",310M200US33100,4701725,63.2,56.1,11.1,286039,29.8,19.8,33.4,376198,70.9,58.0,18.1,1546670,83.6,74.8,10.3,857909,82.4,74.8,9.1,686857,67.6,61.4,9.3,483178,26.8,24.4,9.0,464874,5.9,5.4,9.9,3467634,78.7,70.3,10.6,526863,56.2,37.0,34.1
"Michigan City-La Porte, IN",310M200US33140,89476,58.7,52.2,11.0,5418,40.1,28.2,29.6,7102,66.5,54.2,18.4,28700,69.6,61.8,11.1,16284,78.5,71.9,8.4,15449,65.4,60.4,7.7,9302,25.4,23.7,6.7,7221,5.7,5.2,8.8,67535,70.5,63.1,10.4,9007,59.4,36.9,38.0
"Midland, MI",310M200US33220,67098,60.6,55.3,8.8,4832,34.9,29.1,16.6,5435,78.6,67.7,13.8,19652,82.5,75.7,8.2,13000,81.0,74.9,7.6,11246,57.5,53.5,7.0,6807,18.3,17.0,7.5,6126,3.7,3.6,1.3,49333,76.0,69.5,8.5,6599,56.6,42.4,25.2
"Midland, TX",310M200US33260,113493,69.8,67.0,3.9,8050,45.3,40.0,11.6,11251,82.2,75.0,8.8,41604,84.3,81.2,3.6,19533,80.4,79.0,1.7,16930,69.0,67.8,1.7,8312,34.9,34.1,2.1,7813,11.7,10.9,6.8,89318,80.3,77.4,3.5,7645,57.8,44.7,22.5
"Milwaukee-Waukesha-West Allis, WI",310M200US33340,1231944,67.5,61.8,8.4,87118,43.1,34.5,20.0,104778,79.5,69.0,13.2,411972,86.2,79.2,8.0,226268,83.5,77.8,6.7,196118,68.3,64.3,5.8,106622,25.6,24.1,5.9,99068,5.7,5.4,5.1,939136,81.0,74.6,7.9,126870,56.3,39.0,30.7
"Minneapolis-St. Paul-Bloomington, MN-WI",310M200US33460,2679157,72.3,67.5,6.6,180913,48.5,38.7,20.2,217003,82.3,73.3,10.9,961991,88.6,83.4,5.7,512804,87.6,83.0,5.3,411823,72.6,68.6,5.6,219920,27.7,26.5,4.2,174703,5.9,5.7,3.1,2103621,84.6,79.4,6.1,201294,58.6,43.1,26.5
"Missoula, MT",310M200US33540,91633,69.8,63.4,9.1,6498,51.3,38.2,25.6,13072,77.6,66.6,13.5,30083,87.0,80.2,7.8,13837,84.1,79.3,5.6,14359,69.4,63.8,8.1,8126,30.3,28.6,5.5,5658,4.9,4.9,0.0,71351,81.2,74.2,8.4,12382,63.1,48.8,22.8
"Mobile, AL",310M200US33660,324724,59.1,52.3,11.1,23109,32.6,22.1,32.0,30044,70.3,57.5,17.9,105199,79.2,70.0,10.9,57346,73.1,66.6,8.5,52247,56.1,52.3,6.8,32789,22.5,21.5,4.7,23990,5.1,4.6,8.5,244836,71.7,63.9,10.5,42278,50.8,34.0,33.1
"Modesto, CA",310M200US33700,393800,62.3,52.1,16.3,32415,33.6,19.7,41.5,38717,74.6,57.3,23.2,138690,79.4,66.9,15.6,68740,77.1,66.5,13.7,55778,60.4,54.4,9.8,33285,22.9,20.1,12.4,26175,4.9,4.3,12.2,301925,74.7,63.3,15.3,53980,56.0,33.5,40.3
"Monroe, LA",310M200US33740,137533,58.1,53.4,7.9,9995,25.4,17.2,32.4,13914,66.5,55.7,15.6,45482,75.1,69.2,7.6,23081,73.1,69.7,4.7,21227,59.8,57.4,4.1,13198,26.7,25.8,3.2,10636,7.7,7.3,4.5,103704,70.4,65.1,7.3,20894,49.1,37.8,23.0
"Monroe, MI",310M200US33780,120430,61.9,55.7,10.0,8260,41.3,30.5,26.2,9049,81.9,67.9,17.1,35637,82.7,74.5,9.9,23877,82.1,76.5,6.8,21713,56.6,52.5,7.2,12319,17.2,16.5,4.1,9575,2.8,2.4,14.9,90276,76.2,69.1,9.3,9887,52.1,32.5,37.6
"Montgomery, AL",310M200US33860,294540,61.0,54.6,9.0,21539,32.4,22.1,30.8,28359,71.6,59.1,15.4,100768,78.0,69.3,8.8,51560,75.2,70.1,6.1,44274,60.7,57.9,4.4,27688,24.2,22.9,5.5,20352,7.6,7.1,6.2,224961,73.1,66.0,8.2,36484,51.7,35.5,30.8
"Morgantown, WV",310M200US34060,114144,58.6,54.7,6.6,10021,32.5,24.6,24.2,20319,58.6,53.0,9.3,36099,76.7,72.0,5.7,16144,75.7,72.6,4.1,15634,60.3,58.0,3.8,8989,22.9,22.4,2.1,6938,5.6,5.5,2.3,88196,69.4,65.3,5.8,19411,43.8,37.1,15.3
"Morristown, TN",310M200US34100,92322,58.0,51.4,11.2,5921,47.1,36.0,23.5,7035,72.0,57.3,20.3,28045,78.5,69.3,11.3,16405,74.7,68.5,8.2,15047,55.2,51.4,6.9,11881,22.8,21.2,6.8,7988,5.3,4.7,11.7,66532,71.6,63.8,10.7,12197,44.0,27.6,37.1
"Mount Vernon-Anacortes, WA",310M200US34580,94335,59.4,53.6,8.9,6181,40.9,32.5,20.5,6964,77.5,66.7,13.2,28007,79.1,70.0,9.8,15705,78.9,72.6,7.7,16833,64.1,61.0,4.8,11736,20.6,19.6,4.6,8909,4.3,4.1,4.5,67509,75.1,68.0,8.6,9477,48.3,37.6,22.0
"Muncie, IN",310M200US34620,97492,59.1,52.4,11.4,9695,34.8,24.6,29.2,16608,71.1,61.6,13.3,25175,82.0,72.5,11.6,14474,80.1,72.7,9.2,13544,56.7,53.9,4.9,9783,20.8,19.6,5.4,8213,6.3,5.6,11.8,69801,74.1,66.3,10.5,16597,58.4,43.7,25.2
"Muskegon, MI",310M200US34740,134934,59.1,50.7,14.1,9644,39.2,27.2,30.7,11027,75.0,57.4,23.4,41860,79.0,67.5,14.4,24892,74.7,66.9,10.2,23000,56.8,51.5,9.4,13449,18.4,17.2,6.5,11062,4.1,3.6,11.3,100779,72.4,62.6,13.5,18062,54.6,31.0,43.2
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",310M200US34820,328353,58.1,51.7,10.9,16747,42.8,31.4,26.6,24212,80.4,68.6,14.2,92959,83.7,74.7,10.5,52227,77.3,69.8,9.7,61637,54.3,49.7,8.4,52106,20.2,18.4,9.1,28465,6.7,6.2,8.1,231035,74.1,66.3,10.3,41504,57.2,40.8,28.4
"Napa, CA",310M200US34900,111914,65.7,60.1,8.4,7346,37.2,29.2,21.5,9028,78.0,66.4,14.7,34828,85.4,78.6,7.9,19690,84.2,77.0,8.5,18751,69.7,66.8,4.2,11953,30.5,29.0,4.8,10318,7.1,6.3,11.0,82297,80.7,74.2,8.0,7827,55.1,38.3,30.5
"Naples-Immokalee-Marco Island, FL",310M200US34940,278993,53.6,48.7,9.2,14318,38.1,29.6,22.3,16635,76.1,64.3,15.5,68603,82.9,75.4,9.1,41699,81.0,75.2,7.2,43950,61.8,57.5,7.0,49931,22.2,20.4,8.0,43857,6.0,5.5,7.4,170887,76.4,69.7,8.8,23645,60.7,42.2,30.5
"Nashville-Davidson--Murfreesboro--Franklin, TN",310M200US34980,1358146,67.2,61.9,7.8,89172,39.8,29.8,25.0,122314,76.3,65.5,14.1,496968,83.9,78.2,6.5,246365,80.3,75.2,6.2,204319,64.6,60.8,5.9,117103,26.9,25.6,4.8,81905,6.9,6.6,4.3,1069966,78.5,72.7,7.2,134783,56.1,40.1,28.5
"New Bern, NC",310M200US35100,102246,61.1,48.1,12.3,6098,49.5,28.4,31.7,11748,88.6,48.0,21.3,30125,79.5,63.1,11.2,15892,78.7,70.3,10.2,16426,58.6,54.4,7.1,12353,19.3,18.0,6.7,9604,5.7,5.0,11.2,74191,76.2,60.4,11.6,10067,61.9,44.0,28.1
"New Haven-Milford, CT",310M200US35300,699988,66.5,59.6,10.4,50786,39.5,28.2,28.5,60057,74.4,61.6,17.2,219571,84.7,76.1,9.9,129917,84.3,77.5,8.1,110700,72.3,66.9,7.5,67074,31.6,29.4,6.8,61883,6.7,6.4,5.3,520245,80.8,72.8,9.7,59340,49.7,31.8,35.8
"New Orleans-Metairie, LA",310M200US35380,977266,63.6,57.6,9.0,61756,31.1,21.8,29.7,85108,70.4,58.5,16.3,335833,82.6,74.9,8.6,176445,77.8,72.5,6.7,160245,61.9,58.2,6.0,90615,26.4,25.0,5.2,67264,6.9,6.3,8.5,757631,75.7,69.0,8.5,124633,52.5,36.5,30.5
"New York-Newark-Jersey City, NY-NJ-PA",310M200US35620,15934930,64.9,58.8,9.3,1032475,28.4,20.2,28.7,1357263,67.0,55.3,17.0,5563659,83.2,76.1,8.4,2908111,81.9,75.9,7.4,2378552,68.2,63.2,7.4,1448887,29.0,26.8,7.5,1245983,6.7,6.2,7.2,12207585,78.2,71.2,8.8,1510158,49.8,34.5,30.6
"Niles-Benton Harbor, MI",310M200US35660,124533,60.8,54.3,10.6,8280,39.7,28.8,27.3,9372,77.8,65.5,15.7,35897,81.1,71.9,11.3,22683,78.3,71.3,9.0,21880,64.1,60.1,6.4,14220,24.3,23.2,4.8,12201,6.1,5.9,3.8,89832,75.9,68.2,10.2,14191,51.2,33.5,34.6
"North Port-Sarasota-Bradenton, FL",310M200US35840,611740,52.4,47.3,9.8,29041,38.2,28.7,24.7,33846,79.4,67.3,14.8,139281,82.9,75.1,9.4,94880,81.3,75.1,7.6,106643,59.3,54.3,8.6,106641,20.5,18.5,9.7,101408,5.0,4.5,10.1,374650,75.5,68.5,9.2,51101,54.9,36.7,33.0
"Norwich-New London, CT",310M200US35980,223639,68.2,59.6,8.4,14858,46.1,31.2,17.5,20019,80.7,57.4,14.9,67521,85.1,73.7,8.8,42975,85.9,80.1,6.6,36859,73.4,68.7,6.3,22708,30.8,29.5,4.3,18699,5.9,5.4,7.9,167374,82.2,72.3,8.3,13674,56.1,33.1,40.9
"Ocala, FL",310M200US36100,279068,48.1,41.8,12.9,14577,36.7,24.1,34.4,17696,73.7,57.9,21.2,67677,74.8,65.6,12.0,42911,73.7,65.9,10.5,46420,51.9,46.6,10.1,49673,15.9,14.5,8.6,40114,3.9,3.4,12.1,174704,68.3,59.8,12.2,31712,49.8,30.6,38.4
"Ocean City, NJ",310M200US36140,81077,59.9,53.0,10.2,4772,46.6,33.6,21.2,5538,76.5,65.1,10.1,18942,84.7,74.6,10.8,14363,82.2,73.5,10.1,15565,65.8,60.8,7.4,11864,27.8,24.8,10.7,10033,7.4,6.8,8.4,54408,77.8,69.4,9.7,5615,47.5,29.2,38.0
"Odessa, TX",310M200US36220,106375,66.9,63.3,5.3,8261,48.8,41.1,15.8,11895,75.8,70.5,7.0,39664,80.1,75.8,5.4,17565,78.3,75.8,3.1,14646,63.6,62.1,2.5,7945,34.3,32.2,6.0,6399,8.4,8.4,0.0,83770,76.2,72.6,4.7,9902,54.1,46.5,13.9
"Ogden-Clearfield, UT",310M200US36260,437175,68.0,63.4,5.9,36321,49.6,42.2,14.6,42235,80.4,71.1,9.4,171533,81.3,76.1,5.2,69517,83.0,79.2,4.4,57786,66.6,63.9,4.0,33318,24.8,23.8,4.0,26465,5.6,5.5,1.5,341071,79.0,74.0,5.4,31013,58.0,44.3,23.5
"Oklahoma City, OK",310M200US36420,1007827,65.3,60.8,6.1,69327,40.0,32.4,18.7,101742,76.6,67.2,10.5,357373,82.0,76.6,5.5,170423,78.4,74.6,4.6,150632,63.4,61.1,3.6,90137,27.3,26.2,4.0,68193,7.9,7.7,2.4,780170,76.9,71.9,5.6,109435,52.6,41.6,20.9
"Olympia-Tumwater, WA",310M200US36500,207683,64.1,56.5,9.1,12676,36.5,26.3,28.0,17694,76.2,60.0,18.2,69637,82.7,71.1,8.8,35533,82.4,76.7,6.2,35751,64.5,61.1,5.2,21137,20.7,19.5,5.6,15255,4.2,4.0,4.6,158615,77.8,68.9,8.5,17585,57.0,39.2,30.9
"Omaha-Council Bluffs, NE-IA",310M200US36540,679739,71.8,67.0,5.9,47492,52.1,41.6,19.8,58650,83.5,74.2,9.2,246019,87.3,81.8,5.2,121493,86.1,82.0,4.4,103173,71.8,69.2,3.7,56609,30.8,29.7,3.5,46303,6.5,6.4,2.0,529335,83.6,78.5,5.2,57237,59.4,44.5,24.9
"Orlando-Kissimmee-Sanford, FL",310M200US36740,1778559,65.1,58.2,10.5,122424,29.9,20.1,32.7,174225,74.2,62.6,15.6,624438,84.0,75.8,9.6,314262,81.6,74.6,8.5,252125,65.0,59.5,8.5,165513,23.8,21.9,7.7,125572,5.7,5.1,9.6,1365050,78.7,70.8,9.9,198550,57.9,40.2,30.5
"Oshkosh-Neenah, WI",310M200US36780,136631,66.3,62.5,5.7,9780,53.9,44.7,17.0,14941,80.7,75.6,6.3,42774,82.9,78.1,5.6,24594,83.9,80.6,3.8,20982,67.3,64.3,4.5,12071,21.2,20.4,4.0,11489,4.8,4.4,6.9,103291,79.6,75.5,5.0,12101,63.2,51.2,19.1
"Owensboro, KY",310M200US36980,90570,60.3,56.1,6.8,5604,48.4,35.3,27.0,7006,78.7,70.1,10.3,28309,80.6,75.3,6.4,16784,76.3,72.7,4.6,14976,56.2,54.0,3.9,9730,19.2,18.9,1.4,8161,5.8,5.6,3.4,67075,73.9,69.3,5.9,9087,48.2,36.2,24.9
"Oxnard-Thousand Oaks-Ventura, CA",310M200US37100,652229,67.2,60.4,9.4,48570,35.7,26.4,24.6,59393,78.8,67.1,12.8,216484,84.0,75.6,9.0,121993,82.8,76.2,7.8,100190,70.1,64.6,7.8,58421,31.1,29.1,6.5,47178,6.8,6.4,5.9,498060,80.3,72.5,8.9,47800,58.7,43.3,26.0
"Palm Bay-Melbourne-Titusville, FL",310M200US37340,457880,56.6,49.5,12.1,26321,33.0,22.4,32.1,31125,74.7,60.7,17.4,116104,81.9,71.3,12.1,86364,80.5,73.0,9.1,79958,58.0,51.7,10.8,62285,21.4,19.1,10.4,55723,5.3,4.8,8.1,313551,74.7,65.7,11.5,43078,55.1,33.7,38.8
"Panama City, FL",310M200US37460,153184,61.1,53.5,10.1,8874,43.2,30.8,23.8,12940,78.7,62.9,13.1,49357,80.0,69.7,9.8,28228,76.8,69.8,8.4,24532,57.9,53.2,8.0,16674,21.1,19.0,10.0,12579,6.1,5.7,5.7,115057,74.3,65.4,9.5,15543,53.5,37.4,29.8
"Parkersburg-Vienna, WV",310M200US37620,74894,57.9,52.2,9.8,4220,38.3,25.1,34.3,5126,79.1,67.9,14.2,22087,79.7,71.2,10.4,13932,77.1,71.9,6.8,13228,55.6,51.8,6.8,9293,18.3,17.7,3.1,7008,4.5,4.5,0.0,54373,73.1,66.3,9.2,9030,48.3,33.0,31.7
"Pensacola-Ferry Pass-Brent, FL",310M200US37860,373211,61.5,51.6,10.5,27634,45.0,24.4,26.9,37721,76.4,54.1,14.1,115704,79.8,66.8,10.8,66216,77.8,70.8,8.3,58626,59.0,54.9,7.0,38818,21.4,19.9,6.9,28492,5.4,5.2,3.8,278267,74.5,63.5,9.9,37246,54.6,32.7,39.8
"Peoria, IL",310M200US37900,300212,63.9,58.7,8.0,19879,42.0,32.4,22.8,23858,78.6,67.3,14.3,95690,84.6,77.5,8.0,52053,83.2,78.1,6.1,49909,63.4,60.5,4.6,30982,23.5,22.7,3.2,27841,5.7,5.6,2.2,221510,78.9,72.7,7.6,26370,55.1,36.4,34.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",310M200US37980,4807950,65.4,58.8,9.9,333064,36.9,26.3,28.5,421595,71.2,58.4,17.8,1572818,83.6,75.7,9.2,891818,81.7,75.6,7.4,754584,68.6,63.9,6.8,443417,30.0,28.0,6.8,390654,6.7,6.3,6.5,3640815,78.6,71.2,9.2,433940,46.9,29.5,37.1
"Phoenix-Mesa-Scottsdale, AZ",310M200US38060,3347861,62.5,56.8,9.1,237016,37.1,27.2,26.5,301624,73.8,63.1,14.0,1198945,79.7,73.3,7.8,561261,79.6,73.6,7.4,473532,62.3,57.8,7.3,330552,22.0,20.3,7.5,244931,5.4,5.0,7.6,2535362,75.7,69.3,8.3,386409,50.6,35.8,29.2
"Pine Bluff, AR",310M200US38220,77676,53.1,46.2,12.9,5434,35.9,17.9,49.3,7274,61.3,47.7,22.0,24532,66.1,56.6,14.3,13787,71.2,66.6,6.4,12805,52.5,49.7,5.3,7795,21.8,21.0,3.8,6049,6.1,5.8,4.1,58398,63.7,56.3,11.5,10995,52.7,34.6,34.2
"Pittsburgh, PA",310M200US38300,1952680,62.6,58.0,7.4,120061,41.4,32.6,21.1,149995,75.9,65.9,13.2,569142,84.1,78.1,7.0,352985,81.6,77.2,5.3,342815,66.3,62.7,5.4,209652,25.8,24.5,5.3,208030,5.8,5.5,4.9,1414937,78.3,72.8,6.9,162856,47.7,33.6,29.6
"Pittsfield, MA",310M200US38340,109102,63.0,57.0,9.4,7474,44.8,34.3,23.3,8307,72.0,60.0,16.7,27697,86.4,78.2,9.3,19982,83.1,76.7,7.6,20028,69.4,65.1,6.2,13162,31.4,29.0,7.5,12452,6.5,6.2,4.2,76014,79.5,72.4,8.9,9005,51.9,33.3,35.9
"Pocatello, ID",310M200US38540,63109,64.7,59.9,7.4,4860,44.4,34.6,22.2,7045,75.4,65.4,13.3,22338,80.4,75.1,6.6,9393,82.3,80.2,2.5,9698,65.2,61.3,6.1,5511,20.0,19.1,4.7,4264,5.3,5.2,0.9,48474,77.0,71.9,6.6,7614,59.0,49.7,15.8
"Ponce, PR",310M200US38660,267232,43.0,32.9,23.4,21001,14.6,4.7,68.1,25265,49.3,27.5,44.2,84011,68.7,53.3,22.3,42616,57.7,48.1,16.6,41504,33.7,28.5,15.1,30908,8.0,7.3,9.5,21927,3.3,3.1,5.8,193396,56.2,43.5,22.6,95081,42.9,24.8,42.2
"Portland-South Portland, ME",310M200US38860,425610,68.0,63.6,6.2,26028,49.5,40.3,18.6,30115,83.6,74.0,10.8,127164,86.6,81.0,6.0,83350,85.2,81.2,4.7,75939,71.6,68.6,4.2,45717,30.1,28.8,4.3,37297,5.5,5.4,2.5,316568,82.4,77.4,5.7,33458,55.9,41.7,25.4
"Portland-Vancouver-Hillsboro, OR-WA",310M200US38900,1820979,66.8,60.3,9.6,112985,37.4,25.8,31.0,142700,77.3,65.0,15.8,676216,83.5,76.1,8.7,317492,82.5,76.0,7.8,290036,65.9,61.1,7.3,162990,24.2,22.5,7.3,118560,5.0,4.8,5.9,1426444,79.1,71.9,8.9,187143,57.0,40.0,29.7
"Port St. Lucie, FL",310M200US38940,357354,54.7,47.8,12.7,19432,36.2,22.1,39.1,22821,75.9,59.8,21.1,92539,80.2,70.2,12.4,60596,79.2,71.9,9.0,59053,58.5,52.8,9.7,53212,22.2,19.9,10.3,49701,5.5,4.9,9.7,235009,74.1,65.3,11.8,37451,54.1,35.0,35.4
"Prescott, AZ",310M200US39140,179963,50.7,45.2,10.9,9627,48.7,36.2,25.8,10229,74.6,58.7,21.2,38720,80.0,72.9,8.7,27781,72.5,66.0,8.9,37497,55.5,50.1,9.7,32809,17.9,16.1,9.8,23300,5.1,4.9,4.1,114227,69.6,62.5,10.2,20544,48.3,33.8,29.9
"Providence-Warwick, RI-MA",310M200US39300,1309631,65.9,59.3,9.7,94465,45.9,34.2,25.5,120647,76.4,65.6,13.6,402272,85.1,76.4,9.4,243159,83.2,76.8,7.5,207955,68.3,63.6,6.9,125476,27.9,26.1,6.2,115657,5.8,5.2,10.1,974033,79.9,72.5,9.0,118710,49.6,32.6,34.2
"Provo-Orem, UT",310M200US39340,375399,67.6,62.9,6.7,40827,48.7,39.3,19.2,66073,79.1,73.2,7.3,149248,76.1,71.5,5.7,45842,79.2,75.6,4.3,35363,70.1,67.0,4.4,21651,27.9,26.6,4.8,16395,5.8,5.6,3.8,296526,76.5,72.0,5.7,42203,65.0,55.9,14.0
"Pueblo, CO",310M200US39380,126659,58.2,51.5,11.1,8659,44.6,29.4,34.0,10864,75.5,63.7,15.0,38580,78.8,70.0,10.7,21253,75.3,68.3,9.0,21405,55.0,51.3,6.7,13826,21.2,20.0,5.8,12072,4.2,4.1,4.7,92102,72.1,64.5,10.1,16501,50.3,34.0,32.5
"Punta Gorda, FL",310M200US39460,143862,43.7,38.2,12.6,5317,39.0,25.1,35.7,6856,76.1,62.9,17.3,25154,76.4,67.3,11.7,20228,77.6,67.1,13.5,27569,51.7,46.5,10.1,31323,15.8,14.6,7.8,27415,5.1,4.9,3.9,79807,68.1,59.7,12.4,11716,57.5,36.5,36.4
"Racine, WI",310M200US39540,152991,65.4,59.2,9.4,9987,47.6,33.3,30.1,11491,77.8,63.9,17.9,48074,82.8,76.1,8.2,30543,81.7,76.1,6.8,25800,67.6,63.2,6.5,14676,23.7,21.6,8.7,12420,5.2,4.9,5.6,115908,78.7,72.0,8.4,13213,56.0,36.5,34.8
"Raleigh, NC",310M200US39580,916690,69.8,64.2,8.0,64981,35.6,27.2,23.6,77087,74.3,63.5,14.4,357831,85.9,79.4,7.3,173301,83.9,78.8,5.9,126840,67.7,63.8,5.8,70600,26.1,24.6,5.9,46050,6.4,6.0,5.7,735059,81.1,74.9,7.4,79562,60.4,44.2,26.8
"Rapid City, SD",310M200US39660,109270,68.8,63.4,4.9,6910,55.9,44.3,18.2,9489,84.7,69.6,8.1,34805,85.9,78.3,4.6,18662,86.0,83.4,2.9,19185,68.2,65.9,3.3,11227,31.5,30.8,2.3,8992,7.3,7.2,1.1,82141,81.7,75.6,4.3,8631,60.5,47.6,20.6
"Reading, PA",310M200US39740,329111,65.8,59.6,9.4,25384,45.9,32.6,29.1,28289,76.5,64.2,16.1,98828,85.6,77.9,8.8,61701,84.2,78.7,6.5,52405,69.6,66.0,5.2,32443,26.8,25.0,6.7,30061,5.4,5.1,5.7,241223,80.7,73.9,8.3,29994,52.7,32.9,37.6
"Redding, CA",310M200US39820,144420,53.6,47.0,12.2,9469,32.9,23.6,28.2,11252,71.9,59.4,17.4,40266,75.2,65.2,13.2,24893,71.6,65.0,9.2,26154,52.7,48.2,8.6,18400,20.0,18.2,9.1,13986,4.2,4.0,4.2,102565,68.2,60.2,11.7,18783,47.0,31.6,32.9
"Reno, NV",310M200US39900,346245,66.1,58.9,10.6,22733,39.4,29.4,25.4,32545,77.0,64.6,15.7,114493,84.0,76.0,9.2,61003,83.5,75.4,9.5,57062,64.9,59.0,9.0,35990,25.0,22.6,9.6,22419,7.2,6.3,12.6,265103,78.9,70.8,10.0,38849,54.5,38.5,29.2
"Richmond, VA",310M200US40060,985742,66.3,60.4,8.2,67781,39.3,27.4,29.4,85127,75.4,61.3,17.3,332336,83.3,76.3,7.4,183754,82.2,77.4,5.6,158112,66.8,63.7,4.5,91533,27.5,26.5,3.8,67099,6.0,5.8,2.9,759329,78.7,72.2,7.5,83844,53.7,36.6,31.7
"Riverside-San Bernardino-Ontario, CA",310M200US40140,3289335,61.0,51.9,14.1,282544,29.0,16.7,41.5,338996,72.5,55.3,21.8,1163212,77.7,67.1,12.9,575098,76.7,68.6,10.4,447035,59.3,53.3,10.1,273977,21.0,18.7,11.1,208473,4.9,4.4,11.5,2524341,73.5,63.4,13.0,393497,52.7,34.0,35.4
